date,latitude,longitude,var
2018-01,49.25,-95.25,28.65
2018-01,49.25,-95,31.2
2018-01,49,-122.75,112.52
2018-01,49,-122.5,120.18
2018-01,49,-122.25,124.51
2018-01,49,-122,127.74
2018-01,49,-121.75,119.75
2018-01,49,-121.5,114.97
2018-01,49,-121.25,102.66
2018-01,49,-121,89.81
2018-01,49,-120.75,77.41
2018-01,49,-120.5,71.32
2018-01,49,-120.25,68.72
2018-01,49,-120,72.51
2018-01,49,-119.75,77.2
2018-01,49,-119.5,84.89
2018-01,49,-119.25,89.54
2018-01,49,-119,87.09
2018-01,49,-118.75,88.21
2018-01,49,-118.5,89.32
2018-01,49,-118.25,87.03
2018-01,49,-118,84.91
2018-01,49,-117.75,75.96
2018-01,49,-117.5,70.38
2018-01,49,-117.25,60.94
2018-01,49,-117,55.4
2018-01,49,-116.75,50.65
2018-01,49,-116.5,47.85
2018-01,49,-116.25,44.14
2018-01,49,-116,43.7
2018-01,49,-115.75,39.03
2018-01,49,-115.5,32.62
2018-01,49,-115.25,30.9
2018-01,49,-115,28.81
2018-01,49,-114.75,26.05
2018-01,49,-114.5,25.01
2018-01,49,-114.25,21.44
2018-01,49,-114,23.71
2018-01,49,-113.75,29.95
2018-01,49,-113.5,42.32
2018-01,49,-113.25,60.19
2018-01,49,-113,91.42
2018-01,49,-112.75,119.94
2018-01,49,-112.5,127.19
2018-01,49,-112.25,108.04
2018-01,49,-112,108.83
2018-01,49,-111.75,108.43
2018-01,49,-111.5,103.12
2018-01,49,-111.25,102.74
2018-01,49,-111,96.14
2018-01,49,-110.75,92.55
2018-01,49,-110.5,85.32
2018-01,49,-110.25,87.95
2018-01,49,-110,87
2018-01,49,-109.75,85.27
2018-01,49,-109.5,78.33
2018-01,49,-109.25,74.03
2018-01,49,-109,72.59
2018-01,49,-108.75,72.87
2018-01,49,-108.5,75.66
2018-01,49,-108.25,76.17
2018-01,49,-108,75.87
2018-01,49,-107.75,74.14
2018-01,49,-107.5,70.93
2018-01,49,-107.25,72.24
2018-01,49,-107,71.75
2018-01,49,-106.75,66.8
2018-01,49,-106.5,64.89
2018-01,49,-106.25,61.99
2018-01,49,-106,59.5
2018-01,49,-105.75,56.3
2018-01,49,-105.5,53.19
2018-01,49,-105.25,52.28
2018-01,49,-105,54.79
2018-01,49,-104.75,51.7
2018-01,49,-104.5,51.8
2018-01,49,-104.25,45.32
